author et al. (YEAR)_CHARACTER,paper title_CHARACTER,type of study_CHOICE,study duration_CHOICE,time point_CHOICE,year(s)_STARTYEAR_DASH_ENDYEAR,region_CHARACTER,individual parameter name_CHARACTER,parameter value origin_CHARACTER,parameter unit_CHARACTER,sample size_NUMERIC,life-stage_CHOICE,parameter value_NUMERIC,significance_CHOICE,R_squared_NUMERIC,StandardDeviation_NUMERIC,"applicable to other sub-mechanisms (egg & larval development, build-up of body reserves, overwintering)",comments_CHARACTER,AB_applicable mechanism,"AB_information category (corr, parameter)",DB_applicable mechanism,"DB_information category (corr, parameter)",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,lipid mass,measurement,mg,6,adult,12,,,4,overwintering,male,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,% lipid of DM,measurement,%,6,adult,7.1,,,1.8,overwintering,male,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,dry mass,measurement,mg,2,adult,167.3,,,46.9,overwintering,,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,lipid mass,measurement,mg,2,adult,27.2,,,5.2,overwintering,,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Antarctic Peninsula,% lipid of DM,measurement,%,2,adult,16.5,,,1.5,overwintering,,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,winter,1986,Lazarev Sea,dry mass,measurement,mg,4,juvenile,22.4,,,6.9,overwintering,,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,winter,1986,Lazarev Sea,lipid mass,measurement,mg,4,juvenile,3.8,,,1.9,overwintering,,,,ID99,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,winter,1986,Lazarev Sea,% lipid of DM,measurement,%,4,juvenile,16.2,,,2.8,overwintering,,,,ID99,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,winter,1986,Lazarev Sea,dry mass,measurement,mg,1,adult,37.4,,,,overwintering,female,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,winter,1986,Lazarev Sea,lipid mass,measurement,mg,1,adult,7.5,,,,overwintering,female,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,winter,1986,Lazarev Sea,% lipid of DM,measurement,%,1,adult,20.1,,,,overwintering,female,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,winter,1986,Lazarev Sea,dry mass,measurement,mg,2,adult,87.2,,,5.2,overwintering,male,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,winter,1986,Lazarev Sea,lipid mass,measurement,mg,2,adult,24.6,,,0.1,overwintering,male,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,winter,1986,Lazarev Sea,% lipid of DM,measurement,%,2,adult,28.3,,,1.8,overwintering,male,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,dry mass,measurement,mg,2,larvae,2.3,,,0.5,overwintering,winter/spring; furcilia,,,ID66,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,lipid mass,measurement,mg,2,larvae,0.17,,,0.07,overwintering,winter/spring; furcilia,,,ID66,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,% lipid of DM,measurement,%,2,larvae,7.3,,,1.6,overwintering,winter/spring; furcilia,,,ID66,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,dry mass,measurement,mg,20,adult,55.7,,,16.5,overwintering,winter/spring; female,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,lipid mass,measurement,mg,20,adult,10.9,,,4.7,overwintering,winter/spring; female,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,% lipid of DM,measurement,%,20,adult,18.9,,,4.2,overwintering,winter/spring; female,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,dry mass,measurement,mg,9,adult,63.7,,,18.1,overwintering,winter/spring; male,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,lipid mass,measurement,mg,9,adult,13.7,,,6.6,overwintering,winter/spring; male,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,% lipid of DM,measurement,%,9,adult,20.6,,,5.5,overwintering,winter/spring; male,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,dry mass,measurement,mg,13,juvenile,21.6,,,6.6,overwintering,winter/spring,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,lipid mass,measurement,mg,13,juvenile,2.3,,,1.1,overwintering,winter/spring,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,% lipid of DM,measurement,%,13,juvenile,10.5,,,2.5,overwintering,winter/spring,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,dry mass,measurement,mg,1,juvenile,30.7,,,,overwintering,winter/spring; subadult,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,lipid mass,measurement,mg,1,juvenile,2.7,,,,overwintering,winter/spring; subadult,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,% lipid of DM,measurement,%,1,juvenile,8.9,,,,overwintering,winter/spring; subadult,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,dry mass,measurement,mg,46,adult,91.2,,,28.5,overwintering,winter/spring; female,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,lipid mass,measurement,mg,46,adult,9.8,,,6.2,overwintering,winter/spring; female,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,% lipid of DM,measurement,%,46,adult,10.4,,,4.4,overwintering,winter/spring; female,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,dry mass,measurement,mg,,adult,130,,,58.9,overwintering,winter/spring; male,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,lipid mass,measurement,mg,,adult,15,,,9.9,overwintering,winter/spring; male,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Wedell Sea,% lipid of DM,measurement,%,,adult,11,,,3.5,overwintering,winter/spring; male,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,dry mass,measurement,mg,8,larvae,0.069,,,0.019,overwintering,"CI, CII",,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,lipid mass,measurement,mg,8,larvae,0.009,,,0.004,overwintering,"CI, CII",,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,% lipid of DM,measurement,%,8,larvae,12.3,,,1.4,overwintering,"CI, CII",,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,dry mass,measurement,mg,5,juvenile,29.5,,,11.5,overwintering,,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,lipid mass,measurement,mg,5,juvenile,8.2,,,3.2,overwintering,,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,% lipid of DM,measurement,%,5,juvenile,27.7,,,1.3,overwintering,,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,dry mass,measurement,mg,11,adult,170.5,,,30.8,overwintering,female,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,lipid mass,measurement,mg,11,adult,53.8,,,17.3,overwintering,female,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,% lipid of DM,measurement,%,11,adult,30.9,,,6.8,overwintering,female,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,dry mass,measurement,mg,6,adult,183.2,,,52.1,overwintering,male,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,lipid mass,measurement,mg,6,adult,42.1,,,12.4,overwintering,male,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,% lipid of DM,measurement,%,6,adult,24.3,,,8.7,overwintering,male,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,dry mass,measurement,mg,2,adult,98.1,,,3.6,overwintering,,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,lipid mass,measurement,mg,2,adult,24.7,,,1.2,overwintering,,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,summer,1985,Wedell Sea,% lipid of DM,measurement,%,2,adult,25.2,,,0.4,overwintering,,,,ID3,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Wedell Sea,dry mass,measurement,mg,1,larvae,0.235,,,,overwintering,CIII,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Wedell Sea,lipid mass,measurement,mg,1,larvae,0.035,,,,overwintering,CIII,,,ID66,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Wedell Sea,% lipid of DM,measurement,%,1,larvae,15,,,,overwintering,CIII,,,ID66,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Wedell Sea,dry mass,measurement,mg,12,larvae,0.85,,,0.39,overwintering,FI-FIV,,,,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Wedell Sea,lipid mass,measurement,mg,12,larvae,0.17,,,0.12,overwintering,FI-FIV,,,ID66,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Wedell Sea,% lipid of DM,measurement,%,12,larvae,18.4,,,5.4,overwintering,FI-FIV,,,ID66,"parameter, validation",
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Wedell Sea,dry mass,measurement,mg,4,juvenile,48.3,,,5.3,overwintering,,,,-,validation,
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Wedell Sea,lipid mass,measurement,mg,4,juvenile,20.7,,,2.6,overwintering,,,,,validation,
